item_code,item_name,notion_type,suggested_item_group,details,dance_type,used_programs,quantity,uom,notes,warehouse_site,warehouse_room,image_count,images
A41,黄色裙子,A-服装,服装,连衣裙+腰带,现代服饰,https://youtu.be/H0cdXx63EPA,1,件,原郭懋兰,第2寺院,A04,1,A41.jpg
A42,海光学院校服,A-服装,服装,,现代服饰,,88,件,无领（超小号）：（19）无号（大小不一）：59号：311号：313号：315号：317号：2带领：(女：33；男：36）WS: 16WM: 11WL: 6S: 8M: 10L: 6XL: 8XXL: 4,第2寺院,A04,2,A42-1.jpg;A42-2.jpg
A43,红色镂空袖裙子小号,A-服装,服装,,现代服饰,,1,件,,第2寺院,A04,1,A43.jpg
A44,红色白花纹裙子小号,A-服装,服装,,现代服饰,,1,件,,第2寺院,A04,1,A44.jpg
A45,大褂,A-服装,服装,,传统服饰,,4,件,2红 2蓝,第2寺院,A04,1,A45.png
A46,彩色袜子,A-服装,服装,,,,27,双,配套上衣已分发,第2寺院,A04,1,A46.jpg
A47,红色带金色亮片旗袍,A-服装,服装,,传统服饰,（节目主持）,2,件,样式不一,第2寺院,A04,2,A47-1.jpg;A47-2.jpg
A48,白色吊带小号,A-服装,服装,,,,6,个,,第2寺院,A04,1,A48.jpg
B01,白色舞鞋,B-鞋袜,鞋袜,,,上师颂https://youtu.be/YYE_0A-H_54,8,双,上师颂套装男：3双女：应有6双，缺1双（估计缺熊佳琦）,第2寺院,A04,1,B01.jpg
B02,藏舞高跟舞鞋,B-鞋袜,鞋袜,,,佛音,6,双,,第2寺院,A04,1,B02.jpg
B03,肉色舞鞋,B-鞋袜,鞋袜,,,盛世佛光,26,双,旧：18双，新：8双,第2寺院,A04,1,B03.jpg
B04,黑袜子,B-鞋袜,鞋袜,,,佛音,9,双,,第2寺院,A04,1,B04.jpg
B05,Bella Marie小红鞋,B-鞋袜,鞋袜,,,,1,双,,第2寺院,A04,1,B05.jpg
B06,黑靴子,B-鞋袜,鞋袜,,,,4,双,,第2寺院,A04,1,B06.jpg
B07,白鞋,B-鞋袜,鞋袜,,,一路花开,10,双,原30双，分发后剩10双,第2寺院,A04,1,B07.jpg
C01,黑色假发,C-头饰,头饰,,,,7,个,上师颂套装应有9个，缺2个,第2寺院,A04,1,C01.jpg
C02,蓝色似羽毛头饰,C-头饰,头饰,,,炉香赞https://youtu.be/nEqkYVcns90,7,个,上师颂套装,第2寺院,A04,1,C02.jpg
C03,银色头饰,C-头饰,头饰,,,,7,个,上师颂套装应有9个，缺2个；目前4个单边绳子脱落,第2寺院,A04,1,C03.jpg
C04,蓝花头饰,C-头饰,头饰,,,,5,个,库房原有（1个）其余4个为上师颂套装,第2寺院,A04,1,C04.jpg
C05,金色头冠,C-头饰,头饰,头冠+簪子,,,6,个,上师颂套装,第2寺院,A04,1,C05.jpg
C06,上师颂套装其它饰品,C-头饰,头饰,头膜、贴纸,,,1,套,上师颂套装原有9套，当前只有：假发发网 2个（1个属李辰）贴纸 1包（李辰）,第2寺院,A04,2,C06-1.jpg;C06-2.jpg
C07,藏舞长发头饰,C-头饰,头饰,,,佛音,10,个,1个缺黄色装饰,第2寺院,A04,1,C07.jpg
C08,棕色帽子,C-头饰,头饰,,,,4,个,,第2寺院,A04,1,C08.jpg
C09,粉花头冠(带卡子),C-头饰,头饰,,,,6,个,,第2寺院,A04,1,C09.jpg
C10,粉花头冠(绑带),C-头饰,头饰,,,,1,个,,第2寺院,A04,2,C10-1.jpg;C10-2.jpg
C11,束发粉绑带头饰,C-头饰,头饰,,,,5,个,,第2寺院,A04,1,C11.jpg
C12,黑发卡,C-头饰,头饰,,,,1,个,,第2寺院,A04,1,C12.jpg
C13,大金花,C-头饰,头饰,,,,2,个,,第2寺院,A04,1,C13.jpg
C14,金色头饰,C-头饰,头饰,,,,2,个,,第2寺院,A04,1,C14.jpg
C15,粉花发卡,C-头饰,头饰,,,,2,个,,第2寺院,A04,1,C15.jpg
C16,黑色发卡,C-头饰,头饰,,,,1,包,,第2寺院,A04,1,C16.jpg
C17,银色发卡,C-头饰,头饰,,,,1,板,10个,第2寺院,A04,1,C17.jpg
C18,粉花长发蓝飘带头饰,C-头饰,头饰,,,观音菩萨偈https://www.damiok.org/?p=1360,5,个,,第2寺院,A04,1,C18.jpg
D01,金色领带,D-道具,道具,,,,4,个,,第2寺院,A04,1,D01.jpg
D02,蓝色飘带,D-道具,道具,,,,2,个,,第2寺院,A04,1,D02.jpg
D03,小领花/领带/领结,D-道具,道具,,,,6,个,简易领带2个长领带1个领花2个领结1个其余为零散布料,第2寺院,A04,2,D03-1.jpg;D03-2.jpg
D04,各色蝴蝶结发卡/胸花,D-道具,道具,,,,37,个,,第2寺院,A04,1,D04.jpg
D05,哈达,D-道具,道具,,,,11,条,上师颂套装9个普通大小，外加2个小号水袖,第2寺院,A04,2,D05-1.jpg;D05-2.jpg
D06,红色双手长绸扇,D-道具,道具,,,龙的新年,35,双,新：8；旧：27,第2寺院,A04,1,D06.jpg
D07,腰鼓,D-道具,道具,,,山河美,43,个,无绸子：13；有绸子：29；坏：1,第2寺院,A04,1,D07.jpg
D08,腰鼓鼓槌,D-道具,道具,,,山河美,46,双,无绸子：17双；有绸子：29双,第2寺院,A04,2,D08-1.jpg;D08-2.jpg
D09,红色长绸飘带,D-道具,道具,,,,15,张,长：14；短：1可能为绑腰鼓使用,第2寺院,A04,1,D09.jpg
D10,红手绢,D-道具,道具,,,,26,个,,第2寺院,A04,1,D10.jpg
D11,白色小水袖,D-道具,道具,,,浴佛歌,8,双,,第2寺院,A04,1,D11.jpg
D12,蓝色单手长绸扇,D-道具,道具,,,盛世佛光,30,把,,第2寺院,A04,1,D12.jpg
D13,大鼓,D-道具,道具,,,,1,个,,第2寺院,A04,1,D13.jpg
D14,铁圈反光装饰,D-道具,道具,,,,21,个,金色：11个，紫色：10个,第2寺院,A04,1,D14.jpg
D16,花束,D-道具,道具,,,虔诚献供颂,15,把,,第2寺院,A04,1,D16.jpg
D17,红蓝双色塑料扇,D-道具,道具,,,,10,双,,第2寺院,A04,1,D17.jpg
D18,金指甲,D-道具,道具,,,,9.5,双,（19个）,第2寺院,A04,1,D18.jpg
D19,短扇子,D-道具,道具,,,,20,把,,第2寺院,A04,2,D19-1.jpg;D19-2.jpg
D20,胸花,D-道具,道具,,,,15,个,估计不全，可能库房还有,第2寺院,A04,1,D20.jpg
D21,假睫毛,D-道具,道具,,,,2,盒,,第2寺院,A04,1,D21.png
D22,金属带钻胸花,D-道具,道具,,,,1,个,,第2寺院,A04,1,D22.jpg
D23,莲花灯,D-道具,道具,,,,2,个,前期在库房，此次未看到,第2寺院,A04,1,D23.jpg
D15,条形反光装饰,D-道具,道具,,,,4,个,金色：2个，紫色：2个,第2寺院,A04,1,D15.jpg
